"Story","Title","Result","Date","Stability","Duration (s)"
"As admin I want to see all course","GET - As a admin I want to see all course","SUCCESS","2023-06-24T14:45:53.2072677+07:00[Asia/Bangkok]","0.0","0.27"
"As admin I want to see all course","GET - As a admin I want to see all course using normal user","SUCCESS","2023-06-24T14:45:53.4861271+07:00[Asia/Bangkok]","0.0","0.23"
"As admin I want to see all course","GET - As a admin I want to see specific course","SUCCESS","2023-06-24T14:45:53.7198273+07:00[Asia/Bangkok]","0.0","0.25"
"As admin I want to see all course","GET - As a admin I want to successful get who courses enrolled","SUCCESS","2023-06-24T14:45:53.9746695+07:00[Asia/Bangkok]","0.0","0.26"
"As admin I want to see all course","GET - As a admin I want to successful get course resumes","SUCCESS","2023-06-24T14:45:54.2403495+07:00[Asia/Bangkok]","0.0","0.26"
